time_hr,solid_pressurizer,bubble_phase,pressure_psia,pzr_level_pct,pzr_mass_lbm,pzr_total_enthalpy_btu,closure_phase_fraction
2.975023,1,NONE,368.839900,100.000000,110527.200000,10120390.000000,0.000000
2.977801,1,NONE,368.520800,100.000000,110527.200000,10120390.000000,0.000000
2.980579,1,NONE,368.152000,100.000000,110527.200000,10120390.000000,0.000000
2.983357,1,NONE,367.752200,100.000000,110527.200000,10120390.000000,0.000000
2.986135,1,NONE,367.342000,100.000000,110527.200000,10120390.000000,0.000000
2.988912,1,NONE,366.942700,100.000000,110527.200000,10120390.000000,0.000000
2.991690,1,NONE,366.573500,100.000000,110527.200000,10120390.000000,0.000000
2.994468,1,NONE,365.964000,100.000000,110527.200000,10120390.000000,0.000000
2.997246,1,NONE,365.414500,100.000000,110527.200000,10120390.000000,0.000000
3.000024,1,NONE,364.698500,100.000000,110527.200000,10120390.000000,0.000000
3.002801,1,NONE,364.057800,100.000000,110527.200000,10120390.000000,0.000000
3.005579,1,NONE,363.494100,100.000000,110527.200000,10120390.000000,0.000000
3.008357,1,NONE,362.860300,100.000000,110527.200000,10120390.000000,0.000000
3.011135,1,NONE,362.295700,100.000000,110527.200000,10120390.000000,0.000000
3.013913,1,NONE,361.773500,100.000000,110527.200000,10120390.000000,0.000000
3.016690,1,NONE,361.323400,100.000000,110527.200000,10120390.000000,0.000000
3.019468,1,NONE,361.007500,100.000000,110527.200000,10120390.000000,0.000000
3.022246,1,NONE,360.811600,100.000000,110527.200000,10120390.000000,0.000000
3.025024,1,NONE,360.721500,100.000000,110527.200000,10120390.000000,0.000000
3.027802,1,NONE,360.750200,100.000000,110527.200000,10120390.000000,0.000000
3.030580,1,NONE,360.884900,100.000000,110527.200000,10120390.000000,0.000000
3.033357,1,NONE,361.117300,100.000000,110527.200000,10120390.000000,0.000000
3.036135,1,NONE,361.434300,100.000000,110527.200000,10120390.000000,0.000000
3.038913,1,NONE,361.810600,100.000000,110527.200000,10120390.000000,0.000000
3.041691,1,NONE,362.223900,100.000000,110527.200000,10120390.000000,0.000000
3.044469,1,NONE,362.654400,100.000000,110527.200000,10120390.000000,0.000000
3.047246,1,NONE,363.079900,100.000000,110527.200000,10120390.000000,0.000000
3.050024,1,NONE,363.480500,100.000000,110527.200000,10120390.000000,0.000000
3.052802,1,NONE,364.128200,100.000000,110527.200000,10120390.000000,0.000000
3.055580,1,NONE,364.717000,100.000000,110527.200000,10120390.000000,0.000000
3.058358,1,NONE,365.235800,100.000000,110527.200000,10120390.000000,0.000000
3.061136,1,NONE,365.885200,100.000000,110527.200000,10120390.000000,0.000000
3.063913,1,NONE,366.454500,100.000000,110527.200000,10120390.000000,0.000000
3.066691,1,NONE,367.088200,100.000000,110527.200000,10120390.000000,0.000000
3.069469,1,NONE,367.647300,100.000000,110527.200000,10120390.000000,0.000000
3.072247,1,NONE,368.150900,100.000000,110527.200000,10120390.000000,0.000000
3.075025,1,NONE,368.566200,100.000000,110527.200000,10120390.000000,0.000000
3.077802,1,NONE,368.867300,100.000000,110527.200000,10120390.000000,0.000000
3.080580,1,NONE,369.047400,100.000000,110527.200000,10120390.000000,0.000000
3.083358,1,NONE,369.121700,100.000000,110527.200000,10120390.000000,0.000000
3.086136,1,NONE,369.078000,100.000000,110527.200000,10120390.000000,0.000000
3.088914,1,NONE,368.930400,100.000000,110527.200000,10120390.000000,0.000000
3.091691,1,NONE,368.689100,100.000000,110527.200000,10120390.000000,0.000000
3.094469,1,NONE,368.370700,100.000000,110527.200000,10120390.000000,0.000000
3.097247,1,NONE,367.996400,100.000000,110527.200000,10120390.000000,0.000000
3.100025,1,NONE,367.589000,100.000000,110527.200000,10120390.000000,0.000000
3.102803,1,NONE,367.168100,100.000000,110527.200000,10120390.000000,0.000000
3.105581,1,NONE,366.755700,100.000000,110527.200000,10120390.000000,0.000000
