time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_index,drain_policy,drain_letdown_gpm,drain_charging_gpm,drain_net_outflow_gpm
8.397008,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.399786,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.402564,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.405342,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.408120,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.410898,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.413676,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.416454,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.419232,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.422010,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.424788,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.427567,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.430345,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.433123,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.435901,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.438679,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.441457,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.444235,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.447013,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.449791,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.452569,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.455347,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.458125,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.460903,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.463681,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.466459,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.469237,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.472015,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.474793,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.477571,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.480350,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.483128,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.485906,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.488684,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.491462,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.494240,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.497018,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.499796,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.502574,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.505352,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.508130,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.510908,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.513686,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.516464,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.519242,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.522020,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.524798,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.527576,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.530354,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.533133,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.535911,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.538689,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.541467,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.544245,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.547023,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
