time_hr,pzr_mass_lbm,pzr_total_enthalpy_btu,liquid_occupancy_pct,pressure_psia,pzr_temp_f,net_pzr_heat_mw,charging_gpm,letdown_gpm,surge_gpm,net_cvcs_gpm,startup_hold_active,spray_active,spray_flow_gpm,heater_power_mw,last_failure_reason
0.341667,110527.200000,10120390.000000,100.000000,110.367500,119.970900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.344445,110527.200000,10120390.000000,100.000000,110.332400,119.970700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.347223,110527.200000,10120390.000000,100.000000,110.297400,119.970400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.350001,110527.200000,10120390.000000,100.000000,110.262400,119.970200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.352778,110527.200000,10120390.000000,100.000000,110.227300,119.970000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.355556,110527.200000,10120390.000000,100.000000,110.192300,119.969700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.358334,110527.200000,10120390.000000,100.000000,110.157300,119.969500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.361112,110527.200000,10120390.000000,100.000000,110.122200,119.969300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.363890,110527.200000,10120390.000000,100.000000,110.087200,119.969000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.366667,110527.200000,10120390.000000,100.000000,110.052200,119.968800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.369445,110527.200000,10120390.000000,100.000000,110.017100,119.968500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.372223,110527.200000,10120390.000000,100.000000,109.982100,119.968300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.375001,110527.200000,10120390.000000,100.000000,109.947100,119.968100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.377778,110527.200000,10120390.000000,100.000000,109.912000,119.967800,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.380556,110527.200000,10120390.000000,100.000000,109.877000,119.967600,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.383334,110527.200000,10120390.000000,100.000000,109.842000,119.967400,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.386112,110527.200000,10120390.000000,100.000000,109.806900,119.967100,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.388890,110527.200000,10120390.000000,100.000000,109.771900,119.966900,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.391667,110527.200000,10120390.000000,100.000000,109.736900,119.966700,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.394445,110527.200000,10120390.000000,100.000000,109.701800,119.966400,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.397223,110527.200000,10120390.000000,100.000000,109.666800,119.966200,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.400001,110527.200000,10120390.000000,100.000000,109.631800,119.965900,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.402779,110527.200000,10120390.000000,100.000000,109.596700,119.965700,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.405556,110527.200000,10120390.000000,100.000000,109.561700,119.965500,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.408334,110527.200000,10120390.000000,100.000000,109.526700,119.965200,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.411112,110527.200000,10120390.000000,100.000000,109.491600,119.965000,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.413890,110527.200000,10120390.000000,100.000000,109.456600,119.964800,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.416667,110527.200000,10120390.000000,100.000000,109.421600,119.964500,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.419445,110527.200000,10120390.000000,100.000000,109.386500,119.964300,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.422223,110527.200000,10120390.000000,100.000000,109.351500,119.964100,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.425001,110527.200000,10120390.000000,100.000000,109.316500,119.963800,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.427779,110527.200000,10120390.000000,100.000000,109.281400,119.963600,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.430556,110527.200000,10120390.000000,100.000000,109.246400,119.963300,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.433334,110527.200000,10120390.000000,100.000000,109.211300,119.963100,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.436112,110527.200000,10120390.000000,100.000000,109.176300,119.962900,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
0.438890,110527.200000,10120390.000000,100.000000,109.141300,119.962600,0.000000,0.000000,0.000000,-0.002697,0.000000,1,0,0.000000,0.000000,NONE
